	name_surname	comment_text	time
471	Armen Davtyan	Serious	2019-04-23 16:20:52
472	Armen Davtyan	Sexton	2019-04-23 16:20:56
473	Armen Davtyan	Shack	2019-04-23 16:20:59
474	Armen Davtyan	Shank	2019-04-23 16:21:08
475	Armen Davtyan	Sheet	2019-04-23 16:21:10
476	Armen Davtyan	Shift	2019-04-23 16:21:14
477	Armen Davtyan	Shine	2019-04-23 16:21:17
478	Armen Davtyan	Shrill	2019-04-23 16:21:21
479	Armen Davtyan	Shrimp	2019-04-23 16:21:25
480	Armen Davtyan	Shrink	2019-04-23 16:21:29
481	Armen Davtyan	Shut	2019-04-23 16:21:33
482	Armen Davtyan	Shy	2019-04-23 16:21:40
483	Armen Davtyan	Sick	2019-04-23 16:21:44
484	Armen Davtyan	Side	2019-04-23 16:21:47
485	Armen Davtyan	Sideways	2019-04-23 16:21:55
486	Armen Davtyan	Sifting	2019-04-23 16:21:59
487	Armen Davtyan	Sigh	2019-04-23 16:22:04
