"ref_id","setting_id","string_agg"
13003,3,"with_2# _6 | cold_2#._1# _6 | 'She_2# _6 | is_2# _6 | hungrier_2# _6 | than_2# _6 | I_2# _6 | am_2#,_1# _6 | thought_2# _6 | Sara_2#._1# _6 | And_2# _6 | she_2# _6 | gave_2# _6 | her_2# _6 | hot_2# _6 | new_2# _6 | bread_2# _6 | to_2# _6 | the_4# _6 | child_2#._1# _6"
13004,1,"It_2# _6 | was_2# _6 | a_4# _6 | big_2# _6 | sailing_2# _6 | ship_2#!_1# _6 | She_2# _6 | was_2# _6 | very_2# _6 | surprised_2#._1# _6 | The_4# _6 | sailing_2# _6 | ship_2# _6 | was_2# _6 | something_2# _6 | new_2#._1# _6 | She_2# _6 | was_2# _6 | very_2# _6 | excited_2#._1# _6"
13004,2,"at_2# _6 | his_2# _6 | sister_2# _6 | and_2# _6 | said_2#,_1# _6 | In_2# _6 | the_4# _6 | past_2# _6 | the_4# _6 | white_2# _6 | people_2# _6 | killed_2# _6 | the_4# _6 | Indians_2#._1# _6 | They_2# _6 | want_2# _6 | to_2# _6 | take_2# _6 | our_2# _6 | land_2#._1# _6"
13004,3,"here_2#._1# _6 | We_2# _6 | must_2# _6 | fight_2# _6 | them_2#._1# _6 | But_2# _6 | some_2# _6 | Indians_2# _6 | said:_2# _6 | 'No_2#,_1# _6 | wait_2#._1# _6 | Let's_2# _6 | make_2# _6 | friends_2# _6 | with_2# _6 | them_2#,_1# _6 | and_2# _6 | learn_2# _6 | about_2# _6 | them_2#._1# _6"
13004,4,"the_4# _6 | winter_2#._1# _6 | But_2# _6 | it_2# _6 | was_2# _6 | not_2# _6 | easy_2#._1# _6 | Some_2# _6 | men_2# _6 | worked_2# _6 | hard_2#,_1# _6 | but_2# _6 | many_2# _6 | sat_2# _6 | in_2# _6 | the_4# _6 | sun_2#,_1# _6 | and_2# _6 | did_2# _6 | nothing_2#._1# _6"
13004,5,"'But_2# _6 | first_2#,_1# _6 | We_2# _6 | must_2# _6 | find_2# _6 | food_2#._1# _6 | There_2# _6 | are_2# _6 | birds_2# _6 | in_2# _6 | the_4# _6 | sky_2#,_1# _6 | animals_2# _6 | in_2# _6 | the_4# _6 | forest_2# _6 | we_2# _6 | must_2# _6 | catch_2# _6 | them_2#._1# _6"
13004,6,"friendly_2# _6 | Indians_2# _6 | went_2# _6 | with_2# _6 | them_2#._1# _6 | It_2# _6 | was_2# _6 | very_2# _6 | cold_2#,_1# _6 | and_2# _6 | the_4# _6 | Englishmen_2# _6 | were_2# _6 | hungry_2#._1# _6 | But_2# _6 | Smith_2# _6 | was_2# _6 | happy_2# _6 | and_2# _6 | excited_2#._1# _6"
13004,7,"find_2# _6 | one_2# _6 | for_2# _6 | us_2#._1# _6 | The_4# _6 | next_2# _6 | day_2# _6 | Opekankanu_2# _6 | found_2# _6 | John_2# _6 | Smith's_2# _6 | nine_2# _6 | men_2# _6 | next_2# _6 | to_2# _6 | their_2# _6 | boat_2# _6 | by_2# _6 | the_4# _6 | river_2#._1# _6"
13004,8,"our_2# _6 | land_2# _6 | and_2# _6 | killing_2# _6 | our_2# _6 | people_2# _6 | with_2# _6 | their_2# _6 | guns_2#._1# _6 | They_2# _6 | want_2# _6 | King_2# _6 | James_2# _6 | of_2# _6 | England_2# _6 | to_2# _6 | be_2# _6 | king_2# _6 | here_2#,_1# _6 | too_2#._1# _6"
13004,9,"man_2# _6 | in_2# _6 | the_4# _6 | world_2#._1# _6 | There_2# _6 | was_2# _6 | only_2# _6 | one_2# _6 | man_2# _6 | in_2# _6 | the_4# _6 | entire_2# _6 | universe_2# _6 | for_2# _6 | Pocahontas_2#,_1# _6 | and_2# _6 | that_2# _6 | was_2# _6 | John_2# _6 | Smith_2#._1# _6"
13004,10,"fight_2# _6 | seven_2# _6 | hundred_2#?_1# _6 | In_2# _6 | a_4# _6 | second_2#,_1# _6 | John_2# _6 | Smith_2# _6 | had_2# _6 | his_2# _6 | hand_2# _6 | in_2# _6 | Opekankanu's_2# _6 | hair_2#,_1# _6 | and_2# _6 | his_2# _6 | gun_2# _6 | in_2# _6 | Opekankanu's_2# _6 | face_2#._1# _6"
13004,11,"your_2# _6 | wife_2#._1# _6 | And_2# _6 | so_2#,_1# _6 | on_2# _6 | the_4# _6 | 5th_2# _6 | April_2#,_1# _6 | 1614_2#,_1# _6 | an_4# _6 | Indian_2# _6 | girl_2# _6 | married_2# _6 | an_4# _6 | Englishman_2# _6 | in_2# _6 | the_4# _6 | church_2# _6 | in_2# _6 | Jamestown_2#._1# _6"
13004,12,"to_2# _6 | rich_2# _6 | and_2# _6 | important_2# _6 | people_2#._1# _6 | Everybody_2# _6 | in_2# _6 | London_2# _6 | wanted_2# _6 | to_2# _6 | meet_2# _6 | her_2#,_1# _6 | to_2# _6 | talk_2# _6 | to_2# _6 | her_2#,_1# _6 | to_2# _6 | be_2# _6 | her_2# _6 | friend_2#._1# _6"
13004,13,"he_2# _6 | could_2# _6 | not_2# _6 | forget_2# _6 | the_4# _6 | sad_2#,_1# _6 | dark_2# _6 | eyes_2# _6 | of_2# _6 | Pocahontas_2#,_1# _6 | when_2# _6 | she_2# _6 | said_2# _6 | goodbye_2# _6 | to_2# _6 | him_2# _6 | for_2# _6 | the_4# _6 | last_2# _6 | time_2#._1# _6"
13004,14,"Pocahontas_2# _6 | State_2# _6 | Park_2#._1# _6 | The_4# _6 | beautiful_2# _6 | park_2# _6 | was_2# _6 | named_2# _6 | after_2# _6 | Pocahontas_2#._1# _6 | There_2# _6 | is_2# _6 | also_2# _6 | a_4# _6 | museum_2# _6 | dedicated_2# _6 | to_2# _6 | the_4# _6 | Indian_2# _6 | princess_2#._1# _6"
13005,1,"were_2#,_1# _6 | of_2# _6 | course_2#,_1# _6 | Robin's_2# _6 | men_2#,_1# _6 | and_2# _6 | a_4# _6 | great_2# _6 | fight_2# _6 | began_2#._1# _6 | Marian_2# _6 | wanted_2# _6 | to_2# _6 | fight_2# _6 | too_2#,_1# _6 | but_2# _6 | her_2# _6 | father_2# _6 | stopped_2# _6 | her_2#._1# _6"
13005,2,"going_2# _6 | from_2# _6 | town_2# _6 | to_2# _6 | town_2# _6 | and_2# _6 | asking_2# _6 | questions_2# _6 | about_2# _6 | me_2# _6 | and_2# _6 | about_2# _6 | you_2#._1# _6 | We_2# _6 | will_2# _6 | have_2# _6 | to_2# _6 | be_2# _6 | very_2# _6 | careful…'_2# _6"
13005,3,"poor_2# _6 | villagers_2#._1# _6 | The_4# _6 | stories_2# _6 | say_2# _6 | that_2# _6 | Robin_2# _6 | Hood_2# _6 | lived_2# _6 | with_2# _6 | his_2# _6 | men_2# _6 | in_2# _6 | Sherwood_2# _6 | Forest_2#,_1# _6 | near_2# _6 | the_4# _6 | town_2# _6 | of_2# _6 | Nottingham_2#._1# _6"
13006,1,"is_2# _6 | unsportsmanlike_2# _6 | to_2# _6 | touch_2# _6 | him_2#._1# _6 | They_2# _6 | say_2# _6 | too_2# _6 | d_2# _6 | is_2# _6 | true_2# _6 | ue_2# _6 | man_2#-_1# _6 | eaters_2# _6 | me_2# _6 | y_2#,_1# _6 | lose_2# _6 | their_2# _6 | r_2# _6 | h_2#._1# _6"
13006,2,"was_2# _6 | weak_2# _6 | compared_2# _6 | with_2# _6 | the_4# _6 | beasts_2#,_1# _6 | but_2# _6 | in_2# _6 | the_4# _6 | village_2# _6 | people_2# _6 | said_2# _6 | that_2# _6 | he_2# _6 | was_2# _6 | as_2# _6 | strong_2# _6 | as_2# _6 | a_4# _6 | bull_2#._1# _6"
13006,3,"I_2# _6 | am_2# _6 | sure_2# _6 | that_2# _6 | there_2# _6 | has_2# _6 | never_2# _6 | been_2# _6 | a_4# _6 | wolf_2# _6 | who_2# _6 | had_2# _6 | a_4# _6 | man's_2# _6 | cub_2# _6 | as_2# _6 | one_2# _6 | of_2# _6 | her_2# _6 | children_2#!_1# _6"
13006,4,"him_2# _6 | fruit_2#._1# _6 | But_2# _6 | they_2# _6 | started_2# _6 | fighting_2# _6 | and_2# _6 | forgot_2# _6 | to_2# _6 | take_2# _6 | any_2# _6 | fruit_2# _6 | back_2# _6 | to_2# _6 | Mowgli_2#._1# _6 | Mowgli_2# _6 | seemed_2# _6 | to_2# _6 | become_2# _6 | upset_2#._1# _6"
13006,5,"th_2# _6 | me_2# _6 | the_4# _6 | e_2# _6 | unger_2# _6 | lves_2#._1# _6 | ela_2# _6 | uld_2# _6 | t_2# _6 | op_2# _6 | em_2#,_1# _6 | d_2# _6 | ere_2# _6 | an_4# _6 | gan_2# _6 | make_2# _6 | ke_2# _6 | ouble_2# _6 | r_2# _6 | wgli_2#._1# _6"
13006,6,"said_2# _6 | a_4# _6 | man_2#,_1# _6 | 'those_2# _6 | are_2# _6 | the_4# _6 | bite_2#-_1# _6 | of_2# _6 | wolves_2#._1# _6 | He_2# _6 | is_2# _6 | a_4# _6 | wolf_2#-_1# _6 | who_2# _6 | has_2# _6 | run_2# _6 | away_2# _6 | from_2# _6 | the_4# _6 | jungle_2#._1# _6"
13006,7,"You_2# _6 | burnt_2# _6 | his_2# _6 | coat_2# _6 | with_2# _6 | the_4# _6 | Red_2# _6 | Flower_2#._1# _6 | But_2# _6 | he_2# _6 | says_2# _6 | that_2#,_1# _6 | when_2# _6 | he_2# _6 | comes_2# _6 | back_2#,_1# _6 | he_2# _6 | will_2# _6 | kill_2# _6 | you_2#._1# _6"
13006,8,"while_2# _6 | they_2# _6 | ate_2#._1# _6 | Mowgli_2# _6 | enjoyed_2# _6 | this_2# _6 | work_2#,_1# _6 | and_2# _6 | usually_2# _6 | went_2# _6 | on_2# _6 | alone_2#,_1# _6 | with_2# _6 | a_4# _6 | big_2# _6 | group_2# _6 | of_2# _6 | cows_2# _6 | and_2# _6 | buffaloes_2#._1# _6"
13006,9,"doorway_2# _6 | of_2# _6 | the_4# _6 | little_2# _6 | house_2#._1# _6 | Then_2# _6 | they_2# _6 | heard_2# _6 | the_4# _6 | sound_2# _6 | of_2# _6 | a_4# _6 | strong_2# _6 | wind_2#._1# _6 | It_2# _6 | was_2# _6 | coming_2# _6 | from_2# _6 | the_4# _6 | south_2#._1# _6"
13006,10,"in_2# _6 | the_4# _6 | cellar_2# _6 | under_2# _6 | the_4# _6 | ground_2#,_1# _6 | but_2# _6 | the_4# _6 | house_2#,_1# _6 | Dorothy_2#,_1# _6 | and_2# _6 | Toto_2# _6 | went_2# _6 | up_2# _6 | to_2# _6 | the_4# _6 | top_2# _6 | of_2# _6 | the_4# _6 | cyclone_2#._1# _6"
13006,11,"in_2#,_1# _6 | he_2# _6 | said_2#._1# _6 | I_2# _6 | will_2# _6 | tell_2# _6 | Oz_2# _6 | that_2# _6 | you_2# _6 | are_2# _6 | here_2#._1# _6 | Then_2# _6 | the_4# _6 | soldier_2# _6 | went_2# _6 | away_2# _6 | for_2# _6 | a_4# _6 | long_2# _6 | time_2#._1# _6"
13006,12,"a_4# _6 | time_2#,_1# _6 | he_2# _6 | said_2# _6 | in_2# _6 | a_4# _6 | loud_2# _6 | voice_2#._1# _6 | I_2# _6 | have_2# _6 | asked_2# _6 | the_4# _6 | Scarecrow_2# _6 | to_2# _6 | look_2# _6 | after_2# _6 | you_2#._1# _6 | Please_2# _6 | obey_2# _6 | him_2#._1# _6"
13006,13,"were_2#,_1# _6 | of_2# _6 | course_2#,_1# _6 | Robin's_2# _6 | men_2#,_1# _6 | and_2# _6 | a_4# _6 | great_2# _6 | fight_2# _6 | began_2#._1# _6 | Marian_2# _6 | wanted_2# _6 | to_2# _6 | fight_2# _6 | too_2#,_1# _6 | but_2# _6 | her_2# _6 | father_2# _6 | stopped_2# _6 | her_2#._1# _6"
13006,14,"going_2# _6 | from_2# _6 | town_2# _6 | to_2# _6 | town_2# _6 | and_2# _6 | asking_2# _6 | questions_2# _6 | about_2# _6 | me_2# _6 | and_2# _6 | about_2# _6 | you_2#._1# _6 | We_2# _6 | will_2# _6 | have_2# _6 | to_2# _6 | be_2# _6 | very_2# _6 | careful…’_2# _6"
13006,15,"poor_2# _6 | villagers_2#._1# _6 | The_4# _6 | stories_2# _6 | say_2# _6 | that_2# _6 | Robin_2# _6 | Hood_2# _6 | lived_2# _6 | with_2# _6 | his_2# _6 | men_2# _6 | in_2# _6 | Sherwood_2# _6 | Forest_2#,_1# _6 | near_2# _6 | the_4# _6 | town_2# _6 | of_2# _6 | Nottingham_2#._1# _6"
13007,1,"pull_2# _6 | the_4# _6 | gold_2# _6 | through_2# _6 | the_4# _6 | snow_2# _6 | to_2# _6 | towns_2# _6 | and_2# _6 | rivers_2#._1# _6 | But_2# _6 | Buck_2# _6 | didn't_2# _6 | know_2# _6 | about_2# _6 | the_4# _6 | cold_2# _6 | north_2#,_1# _6 | or_2# _6 | gold_2#._1# _6"
13007,2,"opened_2# _6 | his_2# _6 | eyes_2# _6 | when_2# _6 | a_4# _6 | loud_2# _6 | noise_2# _6 | woke_2# _6 | him_2#._1# _6 | Buck_2# _6 | was_2# _6 | very_2# _6 | hungry_2# _6 | and_2# _6 | thirsty_2#._1# _6 | He_2# _6 | was_2# _6 | on_2# _6 | a_4# _6 | train_2#!_1# _6"
13007,3,"over_2# _6 | and_2# _6 | she_2# _6 | fell_2# _6 | on_2# _6 | the_4# _6 | ground_2#._1# _6 | She_2# _6 | couldn't_2# _6 | stand_2# _6 | up_2# _6 | and_2# _6 | the_4# _6 | other_2# _6 | dogs_2# _6 | attacked_2# _6 | her_2# _6 | again_2# _6 | and_2# _6 | again_2#._1# _6"
13007,4,"happy_2# _6 | and_2# _6 | warm_2#._1# _6 | Then_2# _6 | Buck_2# _6 | understood_2#._1# _6 | He_2# _6 | quickly_2# _6 | made_2# _6 | a_4# _6 | little_2# _6 | bed_2# _6 | under_2# _6 | the_4# _6 | snow_2#,_1# _6 | and_2# _6 | he_2# _6 | slept_2# _6 | very_2# _6 | well_2#._1# _6"
