,word,cefr_level,hash
291,ross,A1,-1301847085047425577
292,mobile,A1,5993210100509955931
293,lot,A1,2350636048636942707
294,you,A1,7177522410926891432
295,pearlie,A1,-5211817174296414539
296,wiley,A1,6007014243979735569
297,rosabelle,A1,7661808269873294903
298,frankie,A1,-3239073897918723025
299,joceline,A1,7501381781375412782
300,shirlie,A1,-2371359731540016382
301,literature,A1,8960984836564545443
302,marlene,A1,-994801392472401025
303,immanuel,A1,-1596184312326911542
304,gordy,A1,-1659898390202983369
305,tristram,A1,1468631024554051479
306,zach,A1,-3020201469528322215
307,melany,A1,-894248084854330747
308,go shopping,A1,5245736383484642317
309,ok,A1,4921250468871504777
310,ev,A1,4393266827089326376
311,janis,A1,-236507048048001399
312,olive,A1,-850704315600305786
313,felice,A1,7035230080222549080
314,natalia,A1,-4472812663594163283
315,laureen,A1,-4370495782174022348
316,laverne,A1,-5379326930360445391
317,nata,A1,665840085070988884
318,darry,A1,3567535789457543805
319,bette,A1,6730822777195157897
320,billie,A1,-7471499777122788590
321,orlando,A1,-74564077511860906
322,remember,A1,-2577015857013810539
323,milton,A1,2417192925479918039
324,margarita,A1,-1991793587995426903
325,dunk,A1,3671442110152143076
326,mac,A1,1444563746925784146
327,does,A1,6071106337558495915
328,lucian,A1,-945812258047634087
329,leo,A1,1113970007750757494
330,eliza,A1,3594165781518192337
331,oswald,A1,3519846686935978470
332,sebastian,A1,-4407290403440735977
333,phemie,A1,-7805056884287203929
334,floy,A1,-6810825639156588697
335,little,A1,-6132104587168266912
336,emmanuel,A1,940663068731397272
337,johnny,A1,-798500740407141142
338,kick,A1,-1047684374232185075
339,adelbert,A1,-2717310722196380488
340,eddie,A1,-5298709520126721949
341,roscoe,A1,-4802851403178246100
342,anne,A1,-2018911242289203540
343,shauna,A1,-1730359249959249547
344,evelynne,A1,-6816296861362974007
345,tania,A1,-7970762585388668786
346,flat,A1,4034238861962516340
347,justina,A1,3947828019899079900
348,fredericka,A1,-3678468128111859325
349,cameron,A1,-4956494330481247574
350,urias,A1,5609900006891034815
351,dolph,A1,-1302386356603255917
352,sorry,A1,8344904270527721038
353,mariette,A1,8710354161163484702
354,lonnie,A1,5635297261333426741
355,called,A1,5706946003352432519
356,this,A1,-7020444882561625921
357,avy,A1,-6759427725078232542
358,bobbie,A1,4345900626348605721
359,joanna,A1,-2776039126327499929
360,harris,A1,7344278750463640266
361,willis,A1,4954451066039574753
362,nessa,A1,-1483504936923712704
363,the internet,A1,7780953978552775937
364,hill,A1,-2397341845735691351
365,tabby,A1,-1038384638612978533
366,clare,A1,-4991069891009929065
367,class,A1,-6705035969248351045
368,elisabeth,A1,-1072586109063387243
369,gloria,A1,-8275335312069740656
370,all,A1,-6808978627802423400
371,alexander,A1,-2512423536805633947
372,mimi,A1,-2457016141736378198
373,ettie,A1,103852884867570900
374,nancie,A1,4673045715870442350
375,yesterday,A1,-1528434560391056185
376,trixie,A1,9008705642169487665
377,fanny,A1,-6308999586834538089
378,paul,A1,7810122646092153857
379,munroe,A1,1119779802248060272
380,sibbie,A1,4815319581816378203
381,rafe,A1,-4549270880607790632
382,mervin,A1,1666208557685116270
383,patty,A1,-9149455028777233316
384,mellie,A1,-9141921551481049873
385,tanya,A1,-3206938604852937257
386,colleen,A1,-592975955173320930
387,public,A1,5517337199814574524
388,lesley,A1,-8699611742531985085
389,any,A1,1156172406104171887
390,doreen,A1,1371714567373090007
391,estella,A1,7259788556946828184
392,rom,A1,6861649778028904086
393,open,A1,9002566407876343676
394,say,A1,-6539237314804671461
395,alister,A1,-9201079107946465481
396,want,A1,-6694484089051545041
397,anselm,A1,4671121509885414606
398,jules,A1,6405586623845870035
399,ralph,A1,770568636263967747
400,phyllie,A1,1386510786489991804
401,rosie,A1,-5586315539118798608
402,charlene,A1,-2160855385323342713
403,leticia,A1,-2503172976740448128
404,nada,A1,-6378417584038374190
405,berney,A1,2655158913845546898
406,michael,A1,778917374379899554
407,football,A1,4014082585922688489
408,branden,A1,489222466859558804
409,susy,A1,-5898280716977362632
410,victoria,A1,-2241864236574004162
411,charlie,A1,-4650074327878172032
412,expensive,A1,-899360315009421737
413,gum,A1,8766170847070407045
414,alphonso,A1,5767748200686499407
415,meal,A1,-2743406215931511796
416,marta,A1,-6385076848454711094
417,short,A1,5695323626817702678
418,table,A1,-6144631872586284682
419,luther,A1,-3392182152058129883
