	name_surname	comment_text	time
222	Masha Zubkova	sleeve	2019-04-23 14:32:13
223	Masha Zubkova	street	2019-04-23 14:33:02
224	Masha Zubkova	statement	2019-04-23 14:34:00
225	Masha Zubkova	spoil	2019-04-23 14:35:19
226	Masha Zubkova	student	2019-04-23 14:35:57
227	Masha Zubkova	smart	2019-04-23 14:36:08
228	Masha Zubkova	saddle	2019-04-23 14:36:48
229	Pavel Schekotov	subscribe	2019-04-23 14:45:24
230	Vladislav Furashev	suitcase	2019-04-23 14:49:58
231	Vladislav Furashev	subway	2019-04-23 14:51:15
232	Vladislav Furashev	station	2019-04-23 14:51:27
233	Vladislav Furashev	string	2019-04-23 14:51:38
234	Vladislav Furashev	scissors	2019-04-23 14:51:58
235	Vladislav Furashev	swim	2019-04-23 14:52:17
236	Vladislav Furashev	she	2019-04-23 14:52:31
237	Vladislav Furashev	single	2019-04-23 14:52:47
238	Vladislav Furashev	slice	2019-04-23 14:53:19
239	Vladislav Furashev	success	2019-04-23 14:55:00
240	Vladislav Furashev	sure	2019-04-23 14:55:24
241	Vladislav Furashev	secretary	2019-04-23 14:55:48
242	Vladislav Furashev	seems	2019-04-23 14:56:55
243	Vladislav Furashev	see	2019-04-23 14:57:00
244	Vladislav Furashev	shoe	2019-04-23 14:57:51
245	Vladislav Furashev	shopping	2019-04-23 14:57:57
246	Vladislav Furashev	sunglasses	2019-04-23 14:58:08
247	Vladislav Furashev	sand of time	2019-04-23 14:59:38
248	Vladislav Furashev	soul	2019-04-23 14:59:42
249	Vladislav Furashev	skills	2019-04-23 15:00:00
250	Vladislav Furashev	sister	2019-04-23 15:00:06
251	Vladislav Furashev	shower	2019-04-23 15:00:47
252	Vladislav Furashev	snow	2019-04-23 15:00:53
253	Vladislav Furashev	storm	2019-04-23 15:00:59
254	Vladislav Furashev	seasons	2019-04-23 15:05:54
255	Vladislav Furashev	smoke	2019-04-23 15:06:13
256	Vladislav Furashev	spider	2019-04-23 15:06:44
257	Vladislav Furashev	spill	2019-04-23 15:06:50
258	Vladislav Furashev	spice	2019-04-23 15:07:02
259	Vladislav Furashev	speak	2019-04-23 15:07:33
260	Vladislav Furashev	spend	2019-04-23 15:07:48
261	Vladislav Furashev	save	2019-04-23 15:08:04
262	Vladislav Furashev	seven	2019-04-23 15:08:15
263	Vladislav Furashev	script	2019-04-23 15:09:18
264	Vladislav Furashev	scroll	2019-04-23 15:09:26
265	Vladislav Furashev	site	2019-04-23 15:10:11
266	Vladislav Furashev	shoot	2019-04-23 15:13:39
267	Vladislav Furashev	spell	2019-04-23 15:13:59
268	Vladislav Furashev	special	2019-04-23 15:14:22
269	Vladislav Furashev	sneeze	2019-04-23 15:14:43
270	Vladislav Furashev	spy	2019-04-23 15:15:30
271	Vladislav Furashev	sheet	2019-04-23 15:18:10
272	Vladislav Furashev	skull	2019-04-23 15:18:59
273	Vladislav Furashev	skeleton	2019-04-23 15:19:14
274	Vladislav Furashev	salty	2019-04-23 15:21:02
275	Vladislav Furashev	salad	2019-04-23 15:21:57
276	Roma Sayfudinov	sorrow	2019-04-23 15:23:52
277	Vladislav Furashev	salmon	2019-04-23 15:23:58
278	Vladislav Furashev	sponge	2019-04-23 15:24:29
279	Vladislav Furashev	soup	2019-04-23 15:24:50
280	Vladislav Furashev	spoon	2019-04-23 15:26:12
281	Vladislav Furashev	sorbet	2019-04-23 15:29:38
282	Vladislav Furashev	second	2019-04-23 15:35:30
283	Vladislav Furashev	stone	2019-04-23 15:36:05
284	Vladislav Furashev	six	2019-04-23 15:37:03
285	Vladislav Furashev	sofa	2019-04-23 15:37:50
286	Vladislav Furashev	santa	2019-04-23 15:39:38
287	Vladislav Furashev	seventeen	2019-04-23 15:40:05
288	Vladislav Furashev	sixteen	2019-04-23 15:40:14
